"Invalid request","Ogiltig begäran"
"No order for processing found","Ingen order att behandla hittades"
"Order canceled. %1.","Beställningen avbröts. %1."
"Failed to complete the payment. Please try again or contact the customer service.","Misslyckades med att slutföra betalningen. Vänligen försök igen eller kontakta kundtjänst."
"Authorization has been completed","Auktoriseringen har slutförts"
"Something went wrong with Avarda payments. Please try again later.","Något gick fel med Avarda-betalningar. Vänligen försök igen senare."
"Gift Card","Presentkort"
Terms,"Villkor"
"Social Security Number","Personnummer"
"For personal customers only","Endast för privatkunder"
"Place Order","Slutför beställning"
"An error occurred on the server. Please try to place the order again.","Ett fel inträffade på servern. Vänligen försök att lägga beställningen igen."
"Avarda API Configuration","Avarda API-konfiguration"
"Enable Avarda Integration","Aktivera Avarda-integration"
"Test Mode (Stage)","Testläge (Stage)"
"Client ID","Klient-ID"
"Client Secret","Klienthemlighet"
"Avarda Invoice","Avarda faktura"
"Enable Avarda Invoice","Aktivera Avarda faktura"
Title,"Titel"
"Upload Image","Ladda upp bild"
Instructions,"Instruktioner"
"Terms Text","Villkorstext"
"Terms Link","Villkorslänk"
"New Order Status","Ny orderstatus"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Create Invoice on Place Order","Skapa faktura vid beställning"
"Avarda Direct Invoice","Avarda direktfaktura"
"Enable Avarda Direct Invoice","Aktivera Avarda direktfaktura"
"Avarda Loan","Avarda lån"
"Enable Avarda Loan","Aktivera Avarda lån"
"Avarda PartPayment","Avarda delbetalning"
"Enable Avarda PartPayment","Aktivera Avarda delbetalning"
"Partner site has no direct invoice account class associated with provided account class code.","Tekniska problem med betalningsmetoden du har valt. Försök igen senare!"
